formula_id,name,domain,purpose,formula,variables,floors_caps_rounds,effective_date,status,primary_source,confidence,notes
FOR001,Stat Conversion MSG to GO: Attack,Stats,"Convierte stats físicos/especiales y velocidad de MSG a Ataque Base en GO","BaseAttack = round(2 * (0.875 * max(Atk, SpAtk) + 0.125 * min(Atk, SpAtk)) * SpeedModifier)","Atk (int), SpAtk (int), Speed (int)","Redondeo estándar (round)",2016-07-06,Vigente,SRC006,Alta,El SpeedModifier se calcula por separado y se multiplica antes del redondeo final.
FOR002,Speed Modifier MSG to GO,Stats,"Calcula el factor de velocidad para ajustar el ataque y la defensa base","SpeedModifier = 1 + (Speed - 75) / 500","Speed (int)","Sin redondeo interno; flotante",2016-07-06,Vigente,SRC006,Alta,Ajusta las estadísticas base de Pokémon rápidos que no se benefician de turnos en GO.
FOR003,Stat Conversion MSG to GO: Defense,Stats,"Convierte stats físicos/especiales y velocidad de MSG a Defensa Base en GO","BaseDefense = round(2 * (0.625 * max(Def, SpDef) + 0.375 * min(Def, SpDef)) * SpeedModifier)","Def (int), SpDef (int), Speed (int)","Redondeo estándar (round)",2016-07-06,Vigente,SRC006,Alta,Pondera más el stat defensivo más alto de la consola original.
FOR004,Stat Conversion MSG to GO: Stamina,Stats,"Convierte el HP de MSG a Stamina Base en GO","BaseStamina = floor(1.75 * HP + 50)","HP (int)","Truncamiento (floor)",2016-07-06,Vigente,SRC006,Alta,Shedinja es una excepción histórica con 10 de Stamina fijo.
FOR005,The 9% Nerf Rule,Stats,"Reduce un 9% las estadísticas de Pokémon cuyo CP máximo proyectado a Nivel 40 supera los 4000","If CP_proj_L40 >= 4000: Stat_final = round(Stat_base * 0.91)","CP_proj_L40 (float), Stat_base (int)","Redondeo estándar tras aplicar multiplicador de 0.91",2018-10-16,Vigente,SRC002,Alta,Se aplica a Legendarios/Megas de alto nivel para control de meta.
FOR006,Combat Power (CP),Stats,"Calcula los puntos de combate mostrados en la interfaz del juego","CP = max(10, floor((Atk_eff * sqrt(Def_eff) * sqrt(Stam_eff) * CPM^2) / 10))","Atk_eff (float), Def_eff (float), Stam_eff (float), CPM (float)","floor; mínimo absoluto de 10",2016-07-06,Vigente,SRC002,Alta,Atk_eff = BaseAtk + IV_Atk; Def_eff = BaseDef + IV_Def; Stam_eff = BaseStamina + IV_Stamina.
FOR007,Health Points (HP),Stats,"Calcula los puntos de vida de un Pokémon en batalla","HP = max(10, floor(Stam_eff * CPM))","Stam_eff (float), CPM (float)","floor; mínimo absoluto de 10",2016-07-06,Vigente,SRC002,Alta,Determina el tamaño del pool de vida para combates PvE y PvP.
FOR008,Catch Probability,Captura,"Estima la probabilidad de capturar a un Pokémon por tiro","P_catch = 1 - (1 - BCR / (2 * CPM))^Multiplier","BCR (float), CPM (float), Multiplier (float)","Flotante; acotado entre [0, 1]",2016-07-06,Vigente,SRC004,Alta,El Multiplier es el producto de Ball * Berry * Throw * Curveball * Medal.
FOR009,Throw Size Multiplier,Captura,"Calcula el factor multiplicador del tiro basado en el radio del círculo de captura","Multiplier_throw = 2 - r","r (float) [0.1, 1.0]","Flotante; Nice >= 0.7; Great 0.3-0.7; Excellent < 0.3",2016-07-06,Vigente,SRC004,Alta,Si el tiro no golpea dentro del círculo, el multiplicador es 1.0.
FOR010,PvE Damage Formula,PvE,"Calcula el daño infligido en raids y gimnasios por golpe","Damage = floor(0.5 * Power * (Atk_eff_att / Def_eff_def) * STAB * Effectiveness * Weather * Friend * Shadow * Mega) + 1","Power (int), Atk_eff_att (float), Def_eff_def (float), etc.","floor; garantizado un mínimo de 1",2016-07-06,Vigente,SRC005,Alta,Los multiplicadores de Mega y Amistad no son acumulativos por persona sino el máximo de la sala.
FOR011,PvP Damage Formula,PvP,"Calcula el daño infligido en la Liga de Combate GO por turno/golpe","Damage = floor(0.5 * Power * (Atk_eff_att / Def_eff_def) * STAB * Effectiveness * 1.3 * Shadow * StageModifier) + 1","Power (int), Atk_eff_att (float), Def_eff_def (float), StageModifier (float)","floor; garantizado un mínimo de 1",2018-12-18,Vigente,SRC003,Alta,El factor 1.3 es un modificador global introducido para acelerar Trainer Battles.
FOR012,PvP Stat Stage Multiplier,PvP,"Ajusta el ataque o defensa tras recibir efectos de bufos o debufos","Multiplier = StageNumerator / StageDenominator","Stage (int) [-4, 4]","Numeradores y denominadores fijos: -4 a 4 mapea a ratios [2/4, 2/3.5, 2/3, 2/2.5, 2/2, 2.5/2, 3/2, 3.5/2, 4/2]",2018-12-18,Vigente,SRC003,Alta,Los bufos alteran la estadística efectiva durante el combate pero no modifican el CP.
FOR013,Lucky Trade Chance,Intercambios,"Calcula la probabilidad de que un intercambio resulte Lucky según la antigüedad de los Pokémon","Chance = 0.05 + 0.05 * min(3, Age_combined)","Age_combined (int)","Fijado en tramos de 5%, 10%, 25%","2018-09-05",Vigente,SRC004,Alta,Age_combined es la suma de los años que ambos Pokémon han estado en almacenamiento.
