experiment_id,hypothesis,design,variables,sample_size_target,biases_to_avoid,statistical_analysis_method,estimated_risk,value
EXP001,La probabilidad de Lucky Trade crece en escalones discretos por año de antigüedad,Intercambiar Pokémon con antigüedad controlada en el límite de los tramos (e.g. 11 meses vs 13 meses; 23 meses vs 25 meses) y verificar saltos en la tasa de Lucky.,Resultado de Lucky (booleano); Edad del Pokémon emisor; Edad del Pokémon receptor,n=5000 intercambios,Sesgo de selección (los jugadores solo reportan cuando obtienen Lucky; requiere registro previo a realizar el intercambio),Regresión logística con variables categóricas para los tramos vs continua,Bajo,Máximo (Verifica el modelo central de la app)
EXP002,La distribución de IVs en intercambios normales es perfectamente uniforme,Realizar intercambios estándar y analizar las frecuencias de cada valor de IV de 1 a 15.,IV de Ataque; IV de Defensa; IV de Stamina,n=10000 intercambios,Mezcla de niveles de amistad (cada nivel cambia el piso f lo que deforma la distribución agregada),Prueba de bondad de ajuste chi-cuadrado para distribución uniforme discreta,Bajo,Alto (Valida supuesto de independencia del motor)
EXP003,Los tres IVs (Atk/Def/Stam) obtenidos en intercambios son estadísticamente independientes,Analizar la correlación entre los tres IVs resultantes de intercambios normales.,Valor de IV (Atk; Def; Stam),n=10000 intercambios,Inclusión de Pokémon Lucky (que imponen un piso de 12 sesgando la covarianza),Prueba de independencia chi-cuadrado y cálculo del coeficiente de correlación de Spearman,Bajo,Alto (Valida el supuesto de producto de probabilidades del engine)
EXP004,La tasa de captura base de los jefes Gigantamax es de 2%,Analizar los resultados de capturas en incursiones Gigantamax registrando tipo de bola y tiro.,Resultado del tiro (captura/fuga); Multiplicadores aplicados,n=2000 tiros,Sesgo de memoria (recordar solo las fugas dramáticas; requiere registro de cada tiro individual por video),Estimación por máxima verosimilitud (MLE) de la BCR,Medio,Alto (Esencial para calcular probabilidades de captura en el nuevo meta)
EXP005,La velocidad de carga del medidor Dynamax depende del número de turnos del fast move,Combatir sin recolectar orbes usando Pokémon con diferentes velocidades de fast move (0.5s a 1.5s) y medir la carga.,Turnos del fast move; HP del boss restado; Carga del medidor (%),n=100 combates,Interferencia de ataques de compañeros de raid (requiere pruebas solo/duo controladas),Regresión lineal múltiple para aislar el efecto de la duración del movimiento del daño bruto,Medio,Alto (Permite optimizar estrategias en Max Battles)
EXP006,La distribución de Pokémon dentro de la misma categoría de huevo (tier) no es uniforme,Registrar las eclosiones de huevos de 10 km de la misma temporada y comprobar si la probabilidad de cada especie es igual.,Especie eclosionada; Tier del huevo,n=3000 eclosiones,Sesgo de reporte (los jugadores reportan más especies raras por emoción),Prueba exacta multinomial para uniformidad,Bajo,Medio (Transparencia en el pool de huevos)
EXP007,Los multiplicadores de tiro (Nice/Great/Excellent) se comportan como una función continua 2-r,Grabar lanzamientos capturando el radio del círculo de captura justo antes del impacto.,Radio del círculo (r); Resultado de captura,n=4000 tiros,Tiros que rebotan por ataque del Pokémon (deben descartarse del denominador),Regresión logística con el radio como variable independiente continua,Bajo,Medio (Aporta precisión a la calculadora de captura)
EXP008,La tasa Shiny en incursiones legendarias se mantiene constante en 1/20,Registrar los encuentros legendarios en raids de evento y no evento.,Resultado (Shiny / Normal),n=10000 encuentros,Sesgo de reporte en redes sociales (autoselección de ganadores),Prueba binomial exacta y estimación del intervalo de confianza de Wilson,Bajo,Medio
EXP009,El tiro crítico (Critical Catch) es un evento aleatorio de tasa fija 1% no afectado por medallas,Registrar la aparición de capturas críticas (animación de 1 solo bote de bola) en jugadores con diferentes niveles de medallas.,Tiro crítico (sí/no); Nivel de medallas del tipo del Pokémon,n=20000 capturas,Tiros Excellent que pueden confundir visualmente (debe verificarse la animación específica),Prueba de independencia chi-cuadrado entre medalla y ratio crítico,Bajo,Bajo
EXP010,La aparición de células de Zygarde en rutas está limitada a un máximo de 3 al día,Hacer rutas diarias sucesivas y registrar en qué número de ruta y en qué momento aparece la célula.,Número de ruta del día; Célula obtenida (sí/no),n=500 días de ruta,No completar la ruta (las células solo spawnean antes de terminar la ruta),Estadística descriptiva y análisis de truncamiento en n=3,Bajo,Bajo
